:Product: Daily Particle Data        1994_DPD.txt
:Issued: 0223 UT 22 Jul 1997
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Environment Center.
#  Please send comments and suggestions to sec@sec.noaa.gov
#
#                      1994 Daily Particle Data
#

               GOES-7 Proton Fluence       GOES-7 Electron Fluence      Neutron
             --- Protons/cm2-day-sr ---   -- Electrons/cm2-day-sr --    Monitor
   Date       >1 MeV  >10 MeV  >100 MeV          >2 MeV               % of bkgd
13 Mar 94    1.9e+06  2.4e+04  7.8e+03           1.6e+09                  0.1 %
14 Mar 94    5.1e+06  2.3e+04  8.0e+03           1.9e+09                  0.3 %
15 Mar 94    1.4e+07  2.3e+04  7.5e+03           1.3e+09                  0.1 %
16 Mar 94    7.6e+06  2.0e+04  6.7e+03           3.1e+09                  0.4 %
17 Mar 94    5.9e+06  1.6e+04  3.6e+03           1.6e+09                  0.2 %
18 Mar 94    2.6e+06  1.6e+04  3.8e+03           1.2e+09                  0.4 %
19 Mar 94    1.2e+06  1.7e+04  4.0e+03           4.0e+08                  0.5 %
20 Mar 94    1.8e+06  1.7e+04  4.7e+03           8.6e+08                  0.9 %
21 Mar 94    2.0e+06  1.7e+04  4.6e+03           7.5e+07                  1.4 %
22 Mar 94    7.1e+06  1.8e+04  4.5e+03           1.6e+08                  0.4 %
23 Mar 94    2.4e+06  1.7e+04  4.5e+03           2.7e+08                  0.1 %
24 Mar 94    2.4e+06  1.7e+04  4.3e+03           3.4e+08                 -0.1 %
25 Mar 94    3.0e+06  1.8e+04  4.6e+03           2.9e+08                 -0.1 %
26 Mar 94    2.8e+06  1.7e+04  4.7e+03           1.6e+08                 -0.1 %
27 Mar 94    3.6e+06  1.7e+04  4.5e+03           2.8e+08                 -0.8 %
28 Mar 94    1.4e+06  1.4e+04  3.4e+03           4.4e+07                 -1.0 %
29 Mar 94    9.0e+05  1.3e+04  3.0e+03           2.5e+07                 -0.3 %
30 Mar 94    1.3e+06  1.2e+04  2.7e+03           3.0e+07                 -0.5 %
31 Mar 94    5.4e+05  1.2e+04  3.0e+03           1.0e+07                  0.0 %
01 Apr 94    9.9e+05  1.2e+04  3.1e+03           2.1e+07                 -0.2 %
02 Apr 94    2.4e+06  1.2e+04  2.9e+03           5.9e+06                 -0.2 %
03 Apr 94    4.2e+06  1.1e+04  2.7e+03           1.9e+08                 -0.6 %
04 Apr 94    1.1e+07  1.2e+04  2.6e+03           1.2e+09                 -0.7 %
05 Apr 94    1.1e+07  1.2e+04  2.8e+03           1.6e+09                 -0.2 %
06 Apr 94    1.4e+07  1.1e+04  2.6e+03           2.4e+09                  0.1 %
07 Apr 94    9.7e+06  1.1e+04  2.6e+03           2.1e+09                  0.0 %
08 Apr 94    1.7e+07  1.1e+04  2.5e+03           2.4e+09                  0.2 %
09 Apr 94    1.1e+06  1.1e+04  2.7e+03           2.3e+09                  0.1 %
10 Apr 94    8.3e+06  1.2e+04  2.3e+03           2.2e+09                  0.4 %
11 Apr 94    5.0e+06  1.2e+04  2.6e+03           9.6e+08                  0.6 %
12 Apr 94    3.6e+06  1.2e+04  2.6e+03           2.3e+09                  0.5 %
13 Apr 94    5.0e+06  1.2e+04  2.8e+03           2.5e+09                  0.2 %
14 Apr 94    6.1e+06  1.9e+04  2.6e+03           1.2e+09                  0.1 %
15 Apr 94    4.9e+06  2.3e+04  2.5e+03           1.2e+09                 -0.2 %
16 Apr 94    2.1e+06  1.3e+04  2.4e+03           3.6e+08                 -1.2 %
17 Apr 94    3.2e+06  1.1e+04  2.1e+03           1.3e+07                 -2.2 %
18 Apr 94    2.4e+06  1.2e+04  2.4e+03           6.8e+07                 -0.9 %
19 Apr 94    2.8e+06  1.2e+04  2.5e+03           1.9e+08                 -0.1 %
20 Apr 94    2.2e+06  1.3e+04  2.6e+03           3.0e+08                 -0.2 %
21 Apr 94    1.9e+06  1.4e+04  3.5e+03           3.4e+08                  0.2 %
22 Apr 94    1.7e+06  1.4e+04  3.7e+03           2.7e+08                  0.3 %
23 Apr 94    1.5e+06  1.5e+04  3.7e+03           1.3e+08                  0.2 %
24 Apr 94    1.5e+06  1.6e+04  3.6e+03           4.4e+07                  0.5 %
25 Apr 94    1.7e+06  1.5e+04  3.8e+03           2.8e+07                  0.6 %
26 Apr 94    1.3e+06  1.5e+04  4.1e+03           3.0e+07                  0.5 %
27 Apr 94    1.2e+06  1.5e+04  3.6e+03           3.1e+07                  0.4 %
28 Apr 94    1.3e+06  1.5e+04  4.3e+03           2.7e+07                  0.8 %
29 Apr 94    1.3e+06  1.5e+04  4.1e+03           1.3e+07                  0.3 %
30 Apr 94    1.3e+06  1.5e+04  4.0e+03           1.2e+07                  0.5 %
01 May 94    6.3e+05  1.6e+04  4.3e+03           2.5e+06                  0.4 %
02 May 94    1.4e+06  1.3e+04  3.4e+03           2.3e+07                 -0.4 %
03 May 94    4.2e+06  1.2e+04  2.5e+03           2.5e+08                 -0.2 %
04 May 94    4.6e+06  1.1e+04  2.6e+03           2.2e+09                 -0.1 %
05 May 94    9.2e+06  1.3e+04  2.6e+03           1.4e+09                 -0.2 %
06 May 94    1.0e+06  1.1e+04  2.6e+03           4.3e+08                 -0.9 %
07 May 94    7.7e+06  1.2e+04  2.7e+03           1.5e+09                 -0.6 %
08 May 94    4.1e+06  1.1e+04  2.7e+03           8.8e+08                 -0.2 %
09 May 94    1.0e+07  1.1e+04  2.5e+03           2.2e+09                 -0.3 %
10 May 94    6.9e+06  1.2e+04  2.6e+03           1.4e+09                  0.1 %
11 May 94    4.1e+06  1.4e+04  3.0e+03           2.2e+09                  0.5 %
12 May 94    1.9e+06  1.2e+04  2.8e+03           1.3e+09                  0.5 %
13 May 94    3.1e+06  1.4e+04  3.3e+03           2.7e+09                  0.8 %
14 May 94    4.2e+05  1.3e+04  3.0e+03           1.6e+08                  1.1 %
15 May 94    3.8e+06  1.2e+04  2.7e+03           8.0e+07                  0.4 %
16 May 94    7.5e+06  1.2e+04  2.7e+03           3.9e+08                 -0.4 %
17 May 94    2.2e+06  1.2e+04  2.8e+03           8.6e+08                 -0.4 %
18 May 94    1.9e+06  1.2e+04  2.8e+03           5.3e+08                  0.3 %
19 May 94    1.0e+06  1.2e+04  3.0e+03           6.7e+08                  0.7 %
20 May 94    1.0e+06  1.3e+04  3.1e+03           1.1e+09                  1.0 %
21 May 94    1.8e+06  1.5e+04  3.6e+03           1.3e+09                  0.9 %
22 May 94    1.5e+06  1.3e+04  3.2e+03           6.8e+08                  0.2 %
23 May 94    2.6e+06  1.3e+04  3.2e+03           4.9e+08                 -0.6 %
24 May 94    2.6e+05  1.2e+04  2.6e+03           6.8e+06                 -0.7 %
25 May 94    1.2e+06  1.2e+04  2.8e+03           2.3e+07                 -0.7 %
26 May 94    7.1e+05  1.3e+04  2.8e+03           4.3e+07                 -0.2 %
27 May 94    6.7e+05  1.3e+04  3.0e+03           8.0e+07                  0.5 %
28 May 94    7.9e+05  1.4e+04  3.0e+03           2.5e+07                  0.4 %
29 May 94    1.8e+06  1.3e+04  2.9e+03           4.4e+07                  0.4 %
30 May 94    7.6e+06  1.2e+04  2.8e+03           2.9e+08                  0.0 %
31 May 94    4.3e+06  1.2e+04  2.6e+03           1.1e+09                 -0.4 %
01 Jun 94    4.4e+06  1.2e+04  2.6e+03           1.3e+09                 -0.8 %
02 Jun 94    1.9e+06  1.1e+04  2.6e+03           8.1e+08                 -0.5 %
03 Jun 94    2.5e+06  1.1e+04  2.5e+03           1.2e+09                 -0.6 %
04 Jun 94    2.5e+06  1.1e+04  2.4e+03           9.6e+08                 -0.6 %
05 Jun 94    2.0e+06  1.2e+04  2.4e+03           9.3e+08                 -0.6 %
06 Jun 94    2.2e+06  1.1e+04  2.5e+03           1.2e+09                  0.2 %
07 Jun 94    1.6e+06  1.1e+04  2.5e+03           6.2e+08                  0.3 %
08 Jun 94    1.2e+06  1.1e+04  2.5e+03           9.0e+08                  0.4 %
09 Jun 94    1.8e+06  1.2e+04  2.6e+03           9.0e+08                  0.8 %
10 Jun 94    2.1e+06  1.1e+04  2.5e+03           4.2e+08                  1.2 %
11 Jun 94    2.1e+06  1.2e+04  2.9e+03           2.5e+08                  0.8 %
12 Jun 94    2.4e+06  1.2e+04  2.7e+03           2.7e+08                  0.3 %
13 Jun 94    1.8e+06  3.2e+04  2.2e+04           3.3e+08                  0.5 %
14 Jun 94    1.5e+06  1.3e+04  2.9e+03           2.4e+08                  0.0 %
15 Jun 94    1.1e+06  1.2e+04  2.9e+03           2.2e+08                  0.4 %
16 Jun 94    1.0e+06  1.4e+04  3.3e+03           3.3e+08                  0.6 %
17 Jun 94    7.4e+05  3.6e+04  2.6e+04           2.5e+08                 -0.2 %
18 Jun 94    6.5e+05  1.3e+04  3.3e+03           9.1e+07                 -0.3 %
19 Jun 94    3.9e+05  1.3e+04  2.9e+03           1.5e+07                 -1.1 %
20 Jun 94    1.6e+06  1.3e+04  3.1e+03           2.0e+07                 -0.9 %
21 Jun 94    7.6e+05  1.2e+04  2.8e+03           1.7e+08                 -0.2 %
22 Jun 94    4.9e+05  1.3e+04  2.9e+03           2.4e+08                  0.4 %
23 Jun 94    7.3e+05  3.3e+04  2.3e+04           3.2e+08                  0.8 %
24 Jun 94    7.9e+05  1.4e+04  3.1e+03           2.7e+08                  1.1 %
25 Jun 94    1.4e+06  1.5e+04  3.7e+03           2.1e+08                  0.8 %
26 Jun 94    4.8e+05  1.4e+04  3.3e+03           5.3e+06                  0.8 %
27 Jun 94    3.6e+05  1.4e+04  3.0e+03           5.8e+06                  0.0 %
28 Jun 94    5.5e+05  1.4e+04  3.2e+03           2.8e+07                  0.1 %
29 Jun 94    1.1e+06  1.4e+04  2.9e+03           4.3e+07                  0.2 %
30 Jun 94    2.7e+06  6.2e+04  3.1e+03           4.8e+08                 -0.4 %
01 Jul 94    3.3e+06  1.8e+04  2.7e+03           5.0e+08                 -1.0 %
02 Jul 94    2.9e+06  1.5e+04  2.6e+03           2.8e+08                 -1.3 %
03 Jul 94    2.9e+06  1.2e+04  2.5e+03           1.0e+09                 -0.8 %
04 Jul 94    1.6e+06  1.1e+04  2.7e+03           7.3e+08                 -0.4 %
05 Jul 94    2.1e+06  3.9e+04  2.6e+04           6.1e+08                  0.1 %
06 Jul 94    2.7e+06  1.3e+04  2.9e+03           1.7e+08                  0.6 %
07 Jul 94    2.4e+06  1.4e+04  3.1e+03           2.7e+07                  1.0 %
08 Jul 94    5.6e+05  5.8e+04  3.2e+03           1.8e+07                  0.7 %
09 Jul 94    9.0e+05  1.5e+04  3.4e+03           1.6e+07                  0.9 %
10 Jul 94    7.8e+05  1.4e+04  3.4e+03           1.3e+07                  0.8 %
11 Jul 94    9.3e+05  1.5e+04  3.3e+03           1.8e+07                  0.8 %
12 Jul 94    1.0e+06  2.5e+04  3.6e+03           1.7e+07                  1.2 %
13 Jul 94    1.1e+06  2.4e+04  3.9e+03           1.1e+07                  0.6 %
14 Jul 94    1.5e+06  3.9e+04  2.7e+04           3.5e+06                 -1.0 %
15 Jul 94    9.5e+05  1.4e+04  3.2e+03           2.0e+07                 -1.8 %
16 Jul 94    4.8e+06  1.6e+04  3.0e+03           3.0e+08                 -1.4 %
17 Jul 94    2.2e+06  3.8e+04  2.5e+04           7.9e+08                 -1.0 %
18 Jul 94    1.3e+06  1.4e+04  3.4e+03           1.5e+09                 -0.5 %
19 Jul 94    1.3e+06  1.5e+04  3.8e+03           9.9e+08                  0.4 %
20 Jul 94    1.2e+06  1.6e+04  3.7e+03           1.0e+09                  0.7 %
21 Jul 94    2.4e+06  1.6e+04  3.9e+03           3.6e+08                  0.7 %
22 Jul 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
23 Jul 94    1.4e+06  1.5e+04  3.5e+03           3.1e+08                  0.6 %
24 Jul 94    1.3e+06  1.5e+04  3.8e+03           4.8e+07                  0.5 %
25 Jul 94    5.6e+05  1.4e+04  3.6e+03           5.4e+06                  0.8 %
26 Jul 94    5.4e+05  1.4e+04  3.7e+03           1.0e+07                  0.3 %
27 Jul 94    3.4e+05  1.4e+04  3.5e+03           7.2e+06                  0.1 %
28 Jul 94    4.4e+05  1.4e+04  3.4e+03           6.2e+06                 -0.6 %
29 Jul 94    1.1e+06  1.2e+04  3.0e+03           8.1e+07                 -0.9 %
30 Jul 94    6.2e+05  1.2e+04  3.2e+03           1.1e+08                 -1.4 %
31 Jul 94    5.5e+05  1.3e+04  3.0e+03           2.7e+07                 -1.0 %
01 Aug 94    9.2e+05  1.3e+04  3.1e+03           3.1e+07                 -0.2 %
02 Aug 94    1.2e+06  3.5e+04  2.4e+04           5.1e+07                  0.4 %
03 Aug 94    1.3e+06  1.3e+04  2.9e+03           4.9e+07                  0.5 %
04 Aug 94    1.3e+06  1.3e+04  3.1e+03           4.4e+07                  0.5 %
05 Aug 94    1.4e+06  1.3e+04  3.3e+03           1.7e+07                  0.8 %
06 Aug 94    8.8e+05  1.4e+04  3.2e+03           6.5e+06                  0.8 %
07 Aug 94    9.0e+05  1.4e+04  3.4e+03           6.1e+06                  0.8 %
08 Aug 94    9.9e+05  1.5e+04  3.6e+03           4.7e+06                 -0.4 %
09 Aug 94    1.5e+06  1.4e+04  3.1e+03           4.2e+06                 -0.2 %
10 Aug 94    6.4e+05  1.3e+04  2.9e+03           2.2e+06                 -0.7 %
11 Aug 94    5.2e+05  1.4e+04  3.2e+03           4.6e+06                 -1.2 %
12 Aug 94    1.1e+06  1.2e+04  2.8e+03           3.1e+07                 -1.1 %
13 Aug 94    2.7e+06  1.2e+04  2.7e+03           9.2e+07                 -0.4 %
14 Aug 94    3.8e+06  1.3e+04  2.8e+03           4.0e+08                  0.1 %
15 Aug 94    8.3e+05  1.3e+04  3.2e+03           8.0e+08                  0.3 %
16 Aug 94    6.9e+05  1.3e+04  3.0e+03           5.6e+08                  0.0 %
17 Aug 94    9.8e+05  1.3e+04  2.9e+03           4.9e+08                  0.3 %
18 Aug 94    8.5e+05  1.4e+04  3.4e+03           3.9e+08                  0.5 %
19 Aug 94    4.9e+05  1.3e+04  3.2e+03           1.8e+08                  0.6 %
20 Aug 94    7.2e+05  1.3e+04  3.1e+03           1.4e+08                  0.6 %
21 Aug 94    5.4e+05  1.3e+04  3.2e+03           1.0e+07                  0.5 %
22 Aug 94    8.7e+05  1.4e+04  3.4e+03           1.2e+07                  0.6 %
23 Aug 94    2.3e+05  1.3e+04  3.3e+03           4.9e+06                  0.9 %
24 Aug 94    3.6e+05  1.3e+04  3.2e+03           3.8e+06                 -0.2 %
25 Aug 94    3.0e+05  1.4e+04  3.3e+03           2.7e+06                 -0.6 %
26 Aug 94    4.4e+05  1.4e+04  3.6e+03           2.5e+06                 -0.1 %
27 Aug 94    4.9e+05  1.4e+04  3.6e+03           3.0e+06                 -0.2 %
28 Aug 94    8.9e+05  1.4e+04  3.5e+03           8.0e+06                  0.2 %
29 Aug 94    1.7e+06  1.5e+04  3.8e+03           6.9e+06                  0.1 %
30 Aug 94    1.9e+06  1.5e+04  3.7e+03           6.8e+06                  0.8 %
31 Aug 94    7.6e+05  1.5e+04  3.2e+03           3.9e+06                  0.4 %
01 Sep 94    2.8e+05  1.5e+04  3.6e+03           2.5e+06                  0.7 %
02 Sep 94    1.3e+05  1.5e+04  3.6e+03           2.2e+06                  0.7 %
03 Sep 94    2.0e+05  1.5e+04  3.7e+03           2.5e+06                  0.5 %
04 Sep 94    2.7e+05  1.6e+04  3.4e+03           2.3e+06                  0.6 %
05 Sep 94    4.3e+05  1.3e+04  3.1e+03           2.5e+06                 -0.7 %
06 Sep 94    8.7e+05  1.5e+04  3.2e+03           2.2e+06                 -1.3 %
07 Sep 94    1.9e+06  1.6e+04  3.3e+03           5.4e+07                 -1.6 %
08 Sep 94    7.2e+06  1.4e+04  3.3e+03           1.5e+09                 -1.0 %
09 Sep 94    8.9e+06  1.4e+04  3.3e+03           5.2e+08                 -0.6 %
10 Sep 94    3.1e+07  1.4e+04  3.3e+03           1.4e+09                  0.1 %
11 Sep 94    1.5e+07  1.8e+04  3.5e+03           1.6e+09                  0.2 %
12 Sep 94    3.2e+06  1.6e+04  3.7e+03           1.4e+09                  0.5 %
13 Sep 94    4.7e+06  1.6e+04  3.5e+03           7.5e+08                  0.3 %
14 Sep 94    6.5e+06  1.5e+04  3.3e+03           9.6e+08                  0.3 %
15 Sep 94    2.9e+06  3.9e+04  2.8e+04           6.3e+08                  0.0 %
16 Sep 94    3.6e+06  4.6e+04  3.0e+03           1.2e+08                 -0.7 %
17 Sep 94    1.8e+06  1.4e+04  3.0e+03           1.0e+08                 -1.2 %
18 Sep 94    1.4e+06  1.2e+04  2.8e+03           1.5e+08                 -0.8 %
19 Sep 94    1.3e+06  1.4e+04  3.0e+03           1.8e+08                 -0.1 %
20 Sep 94    1.4e+06  1.3e+04  2.9e+03           9.4e+07                  0.1 %
21 Sep 94    1.5e+06  1.2e+04  2.8e+03           2.0e+07                  0.3 %
22 Sep 94    1.2e+06  1.3e+04  2.9e+03           9.7e+06                  0.1 %
23 Sep 94    1.4e+06  1.3e+04  3.1e+03           7.0e+06                  0.0 %
24 Sep 94    1.6e+06  1.4e+04  2.9e+03           3.6e+06                  0.6 %
25 Sep 94    2.6e+06  1.4e+04  2.9e+03           6.9e+06                  0.9 %
26 Sep 94    1.0e+06  1.4e+04  3.0e+03           3.1e+07                  0.6 %
27 Sep 94    4.3e+05  1.5e+04  3.4e+03           6.4e+07                  0.9 %
28 Sep 94    1.8e+05  1.4e+04  3.2e+03           2.4e+07                  0.8 %
29 Sep 94    2.2e+05  1.4e+04  3.4e+03           3.8e+07                  0.9 %
30 Sep 94    3.3e+05  1.4e+04  3.4e+03           5.9e+07                  0.9 %
01 Oct 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
02 Oct 94    9.9e+05  1.4e+04  2.7e+03           2.9e+07                 -0.1 %
03 Oct 94    8.1e+06  1.8e+04  2.6e+03           3.1e+07                 -1.3 %
04 Oct 94    1.3e+07  1.3e+04  2.5e+03           9.8e+08                 -1.7 %
05 Oct 94    5.0e+06  1.4e+04  2.4e+03           5.5e+08                 -1.6 %
06 Oct 94    1.6e+07  1.3e+04  2.4e+03           6.5e+08                 -0.8 %
07 Oct 94    2.8e+06  1.2e+04  2.3e+03           6.8e+08                 -0.7 %
08 Oct 94    1.4e+06  1.2e+04  2.4e+03           6.8e+08                 -0.3 %
09 Oct 94    1.4e+06  1.2e+04  2.6e+03           2.0e+09                  0.3 %
10 Oct 94    1.1e+06  1.3e+04  2.6e+03           8.9e+08                  0.3 %
11 Oct 94    1.2e+06  1.2e+04  2.4e+03           2.0e+08                 -0.1 %
12 Oct 94    6.7e+05  1.1e+04  2.3e+03           9.9e+07                  0.4 %
13 Oct 94    3.0e+05  1.1e+04  2.0e+03           9.2e+06                  0.6 %
14 Oct 94    2.7e+05  1.0e+04  2.0e+03           1.2e+07                    *
15 Oct 94    8.2e+05  9.8e+03  2.0e+03           1.2e+07                    *
16 Oct 94    8.3e+05  9.8e+03  2.0e+03           1.8e+07                    *
17 Oct 94    9.6e+05  2.3e+04  2.0e+03           2.3e+07                    *
18 Oct 94    7.1e+05  9.4e+03  1.9e+03           4.0e+07                    *
19 Oct 94    1.4e+06  3.1e+04  2.7e+03           9.4e+06                 -0.3 %
20 Oct 94    2.5e+07  1.1e+06  5.9e+03           1.8e+07                 -0.2 %
21 Oct 94    8.1e+06  4.7e+04  2.5e+03           2.7e+06                 -0.2 %
22 Oct 94    8.3e+06  7.7e+04  2.2e+03           2.3e+06                  0.1 %
23 Oct 94    4.4e+06  1.1e+04  2.0e+03           4.5e+07                 -1.9 %
24 Oct 94    2.2e+06  1.2e+04  2.4e+03           5.5e+08                 -1.0 %
25 Oct 94    4.2e+05  5.4e+04  2.6e+04           3.7e+08                  0.5 %
26 Oct 94    5.7e+05  3.7e+04  2.4e+03           7.6e+08                  0.6 %
27 Oct 94    4.6e+05  1.9e+04  3.0e+03           7.7e+08                  1.0 %
28 Oct 94    6.8e+05  1.9e+04  2.8e+03           8.7e+08                  1.2 %
29 Oct 94    1.1e+06  1.2e+04  2.3e+03           1.8e+07                 -0.2 %
30 Oct 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
31 Oct 94   -1.0e+05 -1.0e+05 -1.0e+05          -1.0e+05                    *
01 Nov 94    2.8e+07  1.3e+04  2.4e+03           7.3e+08                 -0.4 %
02 Nov 94    7.0e+05  1.0e+04  2.4e+03           7.2e+08                  0.0 %
03 Nov 94    1.0e+06  3.9e+04  2.9e+03           3.5e+08                  0.1 %
04 Nov 94   -1.0e+05  5.1e+04  5.9e+03           2.5e+08                 -0.1 %
05 Nov 94   -1.0e+05  1.8e+05  3.6e+03           1.1e+08                 -0.7 %
06 Nov 94   -1.0e+05  2.1e+04  3.1e+03           2.4e+07                 -0.9 %
07 Nov 94   -1.0e+05  1.2e+04  2.7e+03           4.4e+07                 -0.4 %
08 Nov 94   -1.0e+05  1.1e+04  2.5e+03           4.7e+07                  0.0 %
09 Nov 94   -1.0e+05  1.1e+04  2.6e+03           1.7e+07                  0.8 %
