:Product: Daily Particle Data        2017_DPD.txt
:Issued: 0223 UT 07 Apr 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                        2017 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2017 02 13    1.1e+06  1.5e+04  3.4e+03   1.5e+09    1.2e+08          -999.99
2017 02 14    1.0e+06  1.5e+04  3.6e+03   8.9e+08    6.8e+07          -999.99
2017 02 15    1.0e+06  1.5e+04  3.5e+03   6.5e+08    3.9e+07          -999.99
2017 02 16    1.3e+06  1.5e+04  3.5e+03   2.1e+08    8.4e+06          -999.99
2017 02 17    1.2e+06  1.4e+04  3.5e+03   3.8e+08    3.8e+06          -999.99
2017 02 18    7.4e+05  1.5e+04  3.4e+03   7.6e+08    6.1e+06          -999.99
2017 02 19    6.4e+05  1.5e+04  3.6e+03   2.0e+09    2.0e+07          -999.99
2017 02 20    8.7e+05  1.5e+04  3.7e+03   2.4e+09    3.4e+07          -999.99
2017 02 21    1.1e+06  1.5e+04  3.4e+03   2.2e+09    3.8e+07          -999.99
2017 02 22    6.9e+05  1.5e+04  3.6e+03   8.9e+08    9.4e+06          -999.99
2017 02 23    1.0e+06  1.5e+04  3.6e+03   6.5e+08    1.1e+07          -999.99
2017 02 24    1.5e+06  1.4e+04  3.1e+03   1.5e+09    1.5e+07          -999.99
2017 02 25    9.2e+05  1.5e+04  3.5e+03   3.3e+09    4.8e+07          -999.99
2017 02 26    9.8e+05  1.4e+04  3.7e+03   3.0e+09    4.8e+07          -999.99
2017 02 27    1.3e+06  1.5e+04  3.5e+03   1.7e+09    2.6e+07          -999.99
2017 02 28    3.8e+05  1.5e+04  3.6e+03   2.8e+08    1.8e+06          -999.99
2017 03 01    1.8e+06  1.5e+04  3.4e+03   3.1e+08    1.2e+06          -999.99
2017 03 02    8.9e+06  1.5e+04  3.3e+03   6.1e+09    5.8e+08          -999.99
2017 03 03    8.2e+06  1.5e+04  3.6e+03   4.9e+09    5.1e+08          -999.99
2017 03 04    3.2e+06  1.4e+04  3.5e+03   6.0e+09    7.1e+08          -999.99
2017 03 05    3.3e+06  1.5e+04  3.5e+03   6.7e+09    7.9e+08          -999.99
2017 03 06    5.0e+06  1.5e+04  3.6e+03   6.1e+09    7.7e+08          -999.99
2017 03 07    4.7e+06  1.5e+04  3.6e+03   8.1e+09    1.0e+09          -999.99
2017 03 08    3.0e+06  1.5e+04  3.7e+03   6.3e+09    8.8e+08          -999.99
2017 03 09    4.4e+06  1.6e+04  3.6e+03   6.8e+09    8.7e+08          -999.99
2017 03 10    3.4e+06  1.6e+04  3.6e+03   4.1e+09    3.8e+08          -999.99
2017 03 11    2.0e+06  1.6e+04  3.8e+03   4.9e+09    5.0e+08          -999.99
2017 03 12    1.5e+06  1.5e+04  3.7e+03   3.0e+09    1.8e+08          -999.99
2017 03 13    1.5e+06  1.5e+04  3.5e+03   2.6e+09    1.4e+08          -999.99
2017 03 14    1.3e+06  1.5e+04  3.6e+03   3.2e+09    4.2e+08          -999.99
2017 03 15    1.5e+06  1.5e+04  3.6e+03   1.5e+09    1.1e+08          -999.99
2017 03 16    1.2e+06  1.5e+04  3.4e+03   3.9e+08    9.2e+06          -999.99
2017 03 17    1.6e+06  1.5e+04  3.7e+03   4.6e+08    1.9e+07          -999.99
2017 03 18    1.4e+06  1.5e+04  3.8e+03   5.8e+08    3.4e+07          -999.99
2017 03 19    1.2e+06  1.6e+04  3.8e+03   6.0e+08    3.9e+07          -999.99
2017 03 20    9.5e+05  1.5e+04  3.7e+03   3.2e+08    1.4e+07          -999.99
2017 03 21    1.7e+06  1.4e+04  3.2e+03   9.7e+07    2.3e+06          -999.99
2017 03 22    2.3e+06  1.5e+04  3.3e+03   2.1e+09    4.6e+07          -999.99
2017 03 23    2.6e+06  1.5e+04  3.7e+03   7.0e+09    5.5e+08          -999.99
2017 03 24    1.6e+06  1.4e+04  3.4e+03   5.9e+09    4.8e+08          -999.99
2017 03 25    1.7e+06  1.4e+04  3.6e+03   6.0e+09    5.0e+08          -999.99
2017 03 26    2.5e+06  1.5e+04  3.8e+03   5.3e+09    4.9e+08          -999.99
2017 03 27    6.4e+06  1.5e+04  3.5e+03   5.7e+08    1.5e+07          -999.99
2017 03 28    1.3e+07  1.5e+04  3.3e+03   4.4e+09    3.0e+08          -999.99
2017 03 29    1.2e+07  1.6e+04  3.3e+03   6.6e+09    8.2e+08          -999.99
2017 03 30    1.2e+07  1.6e+04  3.6e+03   5.8e+09    7.0e+08          -999.99
2017 03 31    1.6e+07  1.5e+04  3.3e+03   6.2e+09    7.3e+08          -999.99
2017 04 01    9.9e+06  1.4e+04  3.3e+03   9.2e+09    1.5e+09          -999.99
2017 04 02    8.0e+06  1.4e+04  3.4e+03   1.1e+10    2.3e+09          -999.99
2017 04 03    7.6e+06  1.5e+04  3.5e+03   8.5e+09    1.9e+09          -999.99
2017 04 04    5.4e+06  1.5e+04  3.3e+03   8.1e+08    8.6e+07          -999.99
2017 04 05    3.8e+06  1.4e+04  3.4e+03   2.9e+08    5.7e+06          -999.99
2017 04 06    4.3e+06  1.4e+04  3.5e+03   4.4e+08    6.0e+06          -999.99
2017 04 07    5.9e+06  1.5e+04  3.6e+03   1.4e+09    7.8e+06          -999.99
2017 04 08    6.0e+06  1.5e+04  3.5e+03   1.3e+09    1.2e+07          -999.99
2017 04 09    8.8e+06  1.5e+04  3.4e+03   2.4e+09    8.3e+07          -999.99
2017 04 10    8.7e+06  1.5e+04  3.8e+03   3.1e+09    1.3e+08          -999.99
2017 04 11    8.5e+06  1.5e+04  3.8e+03   1.3e+09    4.1e+07          -999.99
2017 04 12    7.3e+06  1.6e+04  4.0e+03   3.9e+09    7.9e+07          -999.99
2017 04 13    1.0e+07  1.6e+04  3.8e+03   4.4e+09    1.2e+08          -999.99
2017 04 14    1.5e+07  1.6e+04  3.8e+03   1.9e+09    5.9e+07          -999.99
2017 04 15    1.5e+07  1.6e+04  3.9e+03   1.3e+09    3.2e+07          -999.99
2017 04 16    1.6e+07  1.6e+04  3.7e+03   1.5e+09    3.6e+07          -999.99
2017 04 17    1.6e+07  1.6e+04  3.7e+03   1.6e+09    6.7e+07          -999.99
2017 04 18    1.7e+07  1.6e+04  3.7e+03   1.1e+09    4.4e+07          -999.99
2017 04 19    2.0e+07  1.5e+04  3.5e+03   2.8e+08    1.7e+06          -999.99
2017 04 20    2.2e+07  1.5e+04  3.3e+03   1.6e+09    1.5e+07          -999.99
2017 04 21    3.3e+07  1.6e+04  3.4e+03   3.4e+09    5.1e+07          -999.99
2017 04 22    4.6e+07  1.6e+04  3.2e+03   2.0e+09    9.9e+07          -999.99
2017 04 23    4.7e+07  1.6e+04  3.2e+03   4.1e+09    4.0e+08          -999.99
2017 04 24    6.1e+07  1.5e+04  3.3e+03   7.9e+09    1.2e+09          -999.99
2017 04 25    4.7e+07  1.5e+04  3.4e+03   8.4e+09    1.6e+09          -999.99
2017 04 26    5.5e+07  1.5e+04  3.4e+03   9.8e+09    2.4e+09          -999.99
2017 04 27    6.1e+07  1.6e+04  3.3e+03   1.0e+10    2.8e+09          -999.99
2017 04 28    4.7e+07  1.5e+04  3.5e+03   9.2e+09    2.8e+09          -999.99
2017 04 29    4.6e+07  1.6e+04  3.6e+03   3.4e+09    7.6e+08          -999.99
2017 04 30    2.9e+07  1.5e+04  3.5e+03   1.7e+09    2.7e+08          -999.99
2017 05 01    2.3e+07  1.5e+04  3.5e+03   1.6e+09    2.6e+08          -999.99
2017 05 02    2.2e+07  1.5e+04  3.4e+03   1.7e+09    3.3e+08          -999.99
2017 05 03    1.7e+07  1.5e+04  3.4e+03   2.0e+09    4.2e+08          -999.99
2017 05 04    2.1e+07  1.6e+04  3.6e+03   1.3e+09    2.3e+08          -999.99
2017 05 05    1.6e+07  1.5e+04  3.3e+03   3.8e+08    1.3e+07          -999.99
2017 05 06    1.9e+07  1.5e+04  3.6e+03   3.9e+08    1.7e+07          -999.99
2017 05 07    2.0e+07  1.6e+04  3.7e+03   3.5e+08    2.4e+07          -999.99
2017 05 08    2.1e+07  1.6e+04  4.2e+03   3.6e+08    8.3e+06          -999.99
2017 05 09    2.3e+07  1.6e+04  3.6e+03   4.5e+08    9.3e+06          -999.99
2017 05 10    3.3e+07  1.5e+04  3.5e+03   4.2e+08    1.9e+07          -999.99
2017 05 11    1.8e+07  1.5e+04  3.6e+03   2.5e+08    1.0e+07          -999.99
2017 05 12    2.7e+07  1.6e+04  3.9e+03   2.3e+08    2.0e+07          -999.99
2017 05 13    3.3e+07  1.6e+04  3.8e+03   2.5e+08    3.1e+07          -999.99
2017 05 14    4.0e+07  1.7e+04  3.9e+03   1.2e+08    8.0e+06          -999.99
2017 05 15    3.4e+07  1.5e+04  3.5e+03   4.4e+07    1.3e+06          -999.99
2017 05 16    4.1e+07  1.5e+04  3.4e+03   4.2e+08    3.3e+06          -999.99
2017 05 17    4.4e+07  1.6e+04  3.9e+03   1.0e+09    1.0e+07          -999.99
2017 05 18    3.8e+07  1.6e+04  3.7e+03   7.2e+08    3.1e+06          -999.99
2017 05 19    3.9e+07  1.6e+04  3.7e+03   7.0e+08    6.3e+06          -999.99
2017 05 20    4.9e+07  1.6e+04  3.5e+03   1.8e+09    3.0e+07          -999.99
2017 05 21    5.0e+07  1.5e+04  3.7e+03   6.9e+09    4.3e+08          -999.99
2017 05 22    5.3e+07  1.5e+04  3.5e+03   8.1e+09    8.0e+08          -999.99
2017 05 23    4.1e+07  1.5e+04  3.6e+03   5.1e+09    3.7e+08          -999.99
2017 05 24    3.0e+07  1.5e+04  3.6e+03   7.6e+09    6.4e+08          -999.99
2017 05 25    2.8e+07  1.6e+04  3.6e+03   8.8e+09    9.6e+08          -999.99
2017 05 26    2.6e+07  1.5e+04  3.6e+03   7.3e+09    8.0e+08          -999.99
2017 05 27    2.4e+07  1.5e+04  3.5e+03   4.9e+09    4.9e+08          -999.99
2017 05 28    2.7e+07  1.4e+04  3.2e+03   3.9e+08    3.1e+06          -999.99
2017 05 29    1.3e+07  1.5e+04  3.4e+03   1.0e+09    1.6e+07          -999.99
2017 05 30    2.0e+05  1.7e+04  3.5e+03   9.4e+08    1.1e+07          -999.99
2017 05 31    2.5e+05  1.7e+04  3.5e+03   1.2e+09    2.8e+07          -999.99
2017 06 01    3.6e+05  1.7e+04  3.7e+03   1.2e+09    3.8e+07          -999.99
2017 06 02    2.9e+05  1.7e+04  3.6e+03   6.5e+08    2.0e+07          -999.99
2017 06 03    7.1e+05  1.7e+04  3.3e+03   7.2e+08    2.4e+07          -999.99
2017 06 04    8.5e+05  1.7e+04  3.5e+03   6.0e+08    1.1e+07          -999.99
2017 06 05    1.7e+06  1.7e+04  3.6e+03   6.1e+08    1.6e+07          -999.99
2017 06 06    1.4e+06  1.7e+04  3.6e+03   4.9e+08    1.0e+07          -999.99
2017 06 07    1.1e+06  1.8e+04  3.7e+03   5.1e+08    1.6e+07          -999.99
2017 06 08    1.1e+06  1.7e+04  3.6e+03   4.5e+08    1.6e+07          -999.99
2017 06 09    1.2e+06  1.6e+04  3.5e+03   3.9e+08    1.6e+07          -999.99
2017 06 10    1.2e+06  1.8e+04  3.8e+03   2.7e+08    1.0e+07          -999.99
2017 06 11    8.8e+05  1.7e+04  3.8e+03   1.3e+08    3.9e+06          -999.99
2017 06 12    5.5e+05  1.7e+04  3.6e+03   2.6e+08    8.8e+05          -999.99
2017 06 13    3.7e+05  1.7e+04  3.5e+03   6.4e+08    2.0e+06          -999.99
2017 06 14    4.4e+05  1.7e+04  3.5e+03   7.3e+08    3.7e+06          -999.99
2017 06 15    8.3e+05  1.8e+04  3.6e+03   6.3e+08    5.6e+06          -999.99
2017 06 16    8.0e+05  1.7e+04  3.6e+03   1.4e+08    1.0e+06          -999.99
2017 06 17    9.0e+05  1.6e+04  3.4e+03   1.8e+09    1.5e+07          -999.99
2017 06 18    4.7e+05  1.6e+04  3.4e+03   1.5e+09    2.2e+07          -999.99
2017 06 19    4.1e+05  1.6e+04  3.5e+03   4.1e+09    1.0e+08          -999.99
2017 06 20    5.1e+05  1.8e+04  3.7e+03   4.3e+09    1.2e+08          -999.99
2017 06 21    5.3e+05  1.8e+04  3.7e+03   4.0e+09    1.3e+08          -999.99
2017 06 22    2.4e+05  1.7e+04  3.7e+03   3.5e+08    6.6e+06          -999.99
2017 06 23    1.6e+07  1.5e+04  3.7e+03   6.1e+08    1.9e+07          -999.99
2017 06 24    2.0e+07  1.5e+04  3.5e+03   7.6e+08    1.1e+07          -999.99
2017 06 25    1.7e+07  1.6e+04  3.3e+03   4.0e+08    2.2e+06          -999.99
2017 06 26    1.6e+07  1.5e+04  3.4e+03   1.4e+09    7.5e+06          -999.99
2017 06 27    1.9e+07  1.5e+04  3.5e+03   2.7e+09    2.0e+07          -999.99
2017 06 28    1.5e+07  1.4e+04  3.3e+03   2.8e+09    3.3e+07          -999.99
2017 06 29    6.4e+06  1.5e+04  3.5e+03   1.5e+09    1.4e+07          -999.99
2017 06 30    2.0e+07  1.5e+04  3.7e+03   1.0e+09    1.3e+07          -999.99
2017 07 01    1.4e+07  1.5e+04  3.8e+03   3.1e+08    2.7e+06          -999.99
2017 07 02    2.1e+07  1.5e+04  3.5e+03   3.0e+08    1.5e+06          -999.99
2017 07 03    1.6e+07  1.5e+04  3.4e+03   3.2e+08    1.4e+06          -999.99
2017 07 04    1.3e+07  1.6e+04  3.6e+03   4.7e+08    1.8e+06          -999.99
2017 07 05    1.3e+07  1.5e+04  3.7e+03   3.8e+08    1.6e+06          -999.99
2017 07 06    1.0e+07  1.6e+04  3.9e+03   2.5e+08    8.3e+05          -999.99
2017 07 07    1.6e+07  1.5e+04  3.3e+03   8.8e+07    2.3e+05          -999.99
2017 07 08    2.8e+07  1.6e+04  3.5e+03   1.4e+08    3.8e+05          -999.99
2017 07 09    3.2e+07  1.6e+04  3.8e+03   1.1e+08    7.0e+04          -999.99
2017 07 10    3.0e+07  1.6e+04  3.6e+03   1.6e+09    5.7e+06          -999.99
2017 07 11    2.5e+07 -1.0e+00 -1.0e+00  -1.0e+00   -1.0e+00          -999.99
2017 07 12    1.6e+07  1.5e+04  3.6e+03   3.2e+09    2.7e+07          -999.99
2017 07 13    1.5e+07  1.5e+04  3.6e+03   3.0e+09    3.3e+07          -999.99
2017 07 14    5.0e+07  7.4e+05  5.0e+03   2.8e+09    4.4e+07          -999.99
2017 07 15    1.0e+08  7.5e+05  4.2e+03   2.1e+09    2.9e+07          -999.99
2017 07 16    1.4e+08  1.2e+05  3.0e+03   6.1e+08    3.6e+06          -999.99
2017 07 17    5.2e+07  1.6e+04  3.7e+03   4.1e+09    2.8e+08          -999.99
2017 07 18    2.2e+07  1.8e+04  4.9e+03   4.7e+09    2.8e+08          -999.99
2017 07 19    1.4e+07  1.6e+04  4.1e+03   6.2e+09    6.6e+08          -999.99
2017 07 20    2.0e+07  1.7e+04  4.1e+03   5.6e+09    6.4e+08          -999.99
2017 07 21    4.7e+07  1.6e+04  3.9e+03   7.4e+08    2.6e+07          -999.99
2017 07 22    4.3e+07  1.5e+04  3.5e+03   2.1e+09    9.7e+07          -999.99
2017 07 23    2.6e+07  1.5e+04  3.1e+03   3.1e+09    1.4e+08          -999.99
2017 07 24    5.6e+07  1.7e+04  3.4e+03   5.8e+09    4.1e+08          -999.99
2017 07 25    1.3e+08  4.8e+04  3.4e+03   6.3e+09    5.4e+08          -999.99
2017 07 26    1.5e+08  4.3e+04  3.5e+03   5.4e+09    4.7e+08          -999.99
2017 07 27    1.2e+08  3.5e+04  3.7e+03   6.9e+09    7.1e+08          -999.99
2017 07 28    1.5e+08  3.0e+04  3.3e+03   5.2e+09    4.4e+08          -999.99
2017 07 29    1.8e+08  2.5e+04  3.2e+03   4.6e+09    3.3e+08          -999.99
2017 07 30    1.2e+08  2.2e+04  3.4e+03   4.7e+09    3.5e+08          -999.99
2017 07 31    7.5e+07  1.7e+04  3.5e+03   4.6e+09    3.9e+08          -999.99
2017 08 01    4.4e+07  1.5e+04  2.9e+03   1.9e+09    9.6e+07          -999.99
2017 08 02    3.8e+07  1.5e+04  3.1e+03   1.3e+09    5.2e+07          -999.99
2017 08 03    2.5e+07  1.6e+04  3.6e+03   1.2e+09    6.2e+07          -999.99
2017 08 04    2.5e+07  1.4e+04  3.3e+03   2.4e+08    1.9e+06          -999.99
2017 08 05    3.3e+07  1.4e+04  3.2e+03   3.9e+09    1.3e+08          -999.99
2017 08 06    5.3e+07  1.5e+04  3.5e+03   6.0e+09    3.0e+08          -999.99
2017 08 07    2.7e+07  1.4e+04  3.7e+03   6.7e+09    4.4e+08          -999.99
2017 08 08    1.9e+07  1.5e+04  3.4e+03   6.6e+09    5.3e+08          -999.99
2017 08 09    1.8e+07  1.4e+04  3.4e+03   5.3e+09    3.9e+08          -999.99
2017 08 10    2.5e+07  1.5e+04  3.8e+03   4.4e+09    3.2e+08          -999.99
2017 08 11    2.0e+07  1.5e+04  3.6e+03   2.7e+09    1.4e+08          -999.99
2017 08 12    4.3e+07  1.5e+04  3.4e+03   7.8e+08    2.6e+07          -999.99
2017 08 13    3.5e+07  1.5e+04  3.4e+03   1.5e+09    3.8e+07          -999.99
2017 08 14    4.1e+07  1.5e+04  3.6e+03   2.2e+09    5.1e+07          -999.99
2017 08 15    4.7e+07  1.6e+04  3.6e+03   2.3e+09    6.8e+07          -999.99
2017 08 16    4.4e+07  1.5e+04  3.6e+03   1.4e+09    4.9e+07          -999.99
2017 08 17    4.1e+07  1.5e+04  3.2e+03   1.0e+09    5.3e+06          -999.99
2017 08 18    6.0e+07  1.6e+04  3.4e+03   1.7e+09    2.7e+07          -999.99
2017 08 19    6.2e+07  1.5e+04  3.1e+03   3.4e+09    1.5e+08          -999.99
2017 08 20    4.4e+07  1.5e+04  3.2e+03   6.7e+09    7.1e+08          -999.99
2017 08 21    4.8e+07  1.5e+04  3.1e+03   1.2e+10    2.1e+09          -999.99
2017 08 22    7.5e+07  1.5e+04  3.2e+03   3.4e+09    2.3e+08          -999.99
2017 08 23    1.2e+08  1.6e+04  3.4e+03   1.9e+09    7.9e+07          -999.99
2017 08 24    1.0e+08  1.6e+04  3.5e+03   2.3e+09    9.1e+07          -999.99
2017 08 25    8.1e+07  1.6e+04  3.4e+03   3.5e+09    2.9e+08          -999.99
2017 08 26    1.3e+08  1.7e+04  3.5e+03   4.6e+09    4.4e+08          -999.99
2017 08 27    1.2e+08  1.6e+04  3.5e+03   4.0e+09    3.8e+08          -999.99
2017 08 28    9.5e+07  1.6e+04  3.5e+03   5.8e+08    8.1e+06          -999.99
2017 08 29    1.0e+08  1.6e+04  3.3e+03   8.8e+08    3.5e+07          -999.99
2017 08 30    9.8e+07  1.6e+04  3.5e+03   2.5e+08    2.1e+06          -999.99
2017 08 31    1.3e+08  1.7e+04  3.6e+03   5.6e+08    1.8e+06          -999.99
2017 09 01    1.3e+08  1.6e+04  3.3e+03   2.1e+09    4.5e+07          -999.99
2017 09 02    1.1e+08  1.6e+04  3.5e+03   4.2e+09    2.0e+08          -999.99
2017 09 03    5.0e+07  1.7e+04  3.6e+03   5.9e+09    4.0e+08          -999.99
2017 09 04    8.9e+07  2.5e+04  3.4e+03   5.4e+09    4.5e+08          -999.99
2017 09 05    1.1e+09  8.0e+06  4.4e+03   2.9e+09    1.5e+08          -999.99
2017 09 06    1.2e+09  3.5e+06  1.2e+04   4.2e+09    3.0e+08          -999.99
2017 09 07    1.1e+09  1.5e+07  4.9e+03   9.7e+08    7.2e+07          -999.99
2017 09 08    8.1e+08  6.7e+06  3.0e+03   8.9e+08    4.4e+07          -999.99
2017 09 09    2.7e+08  2.8e+05  3.7e+03   9.2e+09    3.4e+08          -999.99
2017 09 10    5.7e+08  1.8e+07  1.1e+06   9.9e+09    4.9e+08          -999.99
2017 09 11    6.5e+08  9.4e+07  2.5e+06   4.1e+09    1.7e+08          -999.99
2017 09 12    1.9e+08  2.8e+07  3.2e+05   2.9e+09    2.0e+08          -999.99
2017 09 13    4.4e+07  7.0e+06  4.6e+04   7.4e+08    1.3e+07          -999.99
2017 09 14    2.9e+07  3.2e+06  1.3e+04   1.0e+09    1.8e+07          -999.99
2017 09 15    2.2e+07  2.3e+05  4.4e+03   5.5e+09    5.4e+08          -999.99
2017 09 16    1.5e+07  6.6e+04  3.8e+03   5.1e+09    4.8e+08          -999.99
2017 09 17    6.7e+06  3.1e+04  3.4e+03   7.3e+09    9.2e+08          -999.99
2017 09 18    6.3e+06  2.5e+04  3.1e+03   6.1e+09    8.1e+08          -999.99
2017 09 19    1.9e+06  2.4e+04  3.2e+03   1.0e+10    1.5e+09          -999.99
2017 09 20    2.4e+06  1.8e+04  3.3e+03   7.6e+09    1.1e+09          -999.99
2017 09 21    7.5e+06  1.7e+04  3.3e+03   7.4e+09    1.4e+09          -999.99
2017 09 22    1.9e+06  1.9e+04  3.2e+03   4.9e+09    9.5e+08          -999.99
2017 09 23    1.4e+06  1.8e+04  3.3e+03   8.8e+08    7.0e+07          -999.99
2017 09 24    3.6e+06  1.7e+04  3.3e+03   1.2e+09    1.7e+08          -999.99
2017 09 25    7.7e+05  1.5e+04  2.9e+03   2.2e+08    2.4e+06          -999.99
2017 09 26    7.5e+05  1.5e+04  3.2e+03   1.9e+08    3.7e+06          -999.99
2017 09 27    2.9e+06  1.4e+04  3.0e+03   1.6e+08    1.9e+06          -999.99
2017 09 28    4.6e+06  1.3e+04  3.0e+03   2.5e+09    9.4e+07          -999.99
2017 09 29    4.7e+06  1.4e+04  3.3e+03   1.0e+10    1.2e+09          -999.99
2017 09 30    6.4e+06  1.4e+04  3.4e+03   9.0e+09    1.4e+09          -999.99
2017 10 01    4.9e+06  1.4e+04  3.4e+03   4.0e+09    4.8e+08          -999.99
2017 10 02    4.1e+06  1.4e+04  3.4e+03   7.4e+09    1.1e+09          -999.99
2017 10 03    2.8e+06  1.4e+04  3.5e+03   3.0e+09    3.3e+08          -999.99
2017 10 04    1.9e+06  1.4e+04  3.3e+03   2.7e+09    3.7e+08          -999.99
2017 10 05    3.7e+06  1.4e+04  3.3e+03   1.2e+09    7.6e+07          -999.99
2017 10 06    1.1e+07  1.4e+04  3.4e+03   2.9e+08    5.0e+06          -999.99
2017 10 07    1.8e+06  1.4e+04  3.4e+03   4.3e+08    6.8e+06          -999.99
2017 10 08    2.8e+06  1.4e+04  3.2e+03   2.8e+08    7.9e+06          -999.99
2017 10 09    7.1e+05  1.4e+04  3.4e+03   4.1e+08    2.0e+07          -999.99
2017 10 10    4.6e+08  1.5e+04  3.5e+03   4.4e+08    2.4e+07          -999.99
2017 10 11    7.7e+08  1.8e+04  3.3e+03   4.5e+08    1.7e+06          -999.99
2017 10 12    1.8e+07  1.5e+04  3.3e+03   2.3e+09    5.4e+07          -999.99
2017 10 13    4.2e+07  1.5e+04  3.3e+03   3.3e+09    1.1e+08          -999.99
