:Product: Daily Particle Data        2016_DPD.txt
:Issued: 02 Jan 2017
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#                           2016 Daily Particle Data
#
#              GOES-13 Proton Fluence     GOES-13 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2016 03 27    2.9e+05  1.2e+04  3.0e+03   2.1e+08    5.0e+06          -999.99
2016 03 28    3.1e+05  1.3e+04  3.4e+03   2.1e+08    3.1e+06          -999.99
2016 03 29    3.0e+05  1.3e+04  3.3e+03   7.8e+08    6.5e+06          -999.99
2016 03 30    2.4e+05  1.3e+04  3.1e+03   1.1e+09    6.3e+06          -999.99
2016 03 31    2.0e+05  1.3e+04  3.0e+03   2.4e+09    1.8e+07          -999.99
2016 04 01    4.0e+05  1.3e+04  3.0e+03   2.6e+09    2.6e+07          -999.99
2016 04 02    6.2e+05  1.3e+04  3.1e+03   1.2e+09    1.1e+07          -999.99
2016 04 03    2.9e+05  1.2e+04  3.2e+03   1.2e+09    8.2e+06          -999.99
2016 04 04    1.7e+05  1.3e+04  3.3e+03   3.9e+09    8.9e+07          -999.99
2016 04 05    1.8e+05  1.3e+04  3.2e+03   4.6e+09    1.4e+08          -999.99
2016 04 06    1.7e+05  1.2e+04  3.0e+03   2.8e+09    7.2e+07          -999.99
2016 04 07    4.7e+05  1.3e+04  3.1e+03   9.5e+08    3.0e+07          -999.99
2016 04 08    4.8e+04  1.3e+04  3.1e+03   3.4e+07    5.4e+04          -999.99
2016 04 09    4.4e+04  1.3e+04  2.9e+03   1.1e+08    8.1e+05          -999.99
2016 04 10    8.6e+04  1.3e+04  3.1e+03   1.3e+08    1.6e+05          -999.99
2016 04 11    9.1e+04  1.2e+04  2.9e+03   1.7e+08    5.6e+05          -999.99
2016 04 12    1.6e+05  1.2e+04  3.1e+03   1.8e+08    4.2e+05          -999.99
2016 04 13    1.1e+06  1.3e+04  3.1e+03   2.7e+09    8.4e+07          -999.99
2016 04 14    1.0e+06  1.2e+04  2.7e+03   2.8e+09    1.1e+08          -999.99
2016 04 15    1.5e+06  1.3e+04  3.1e+03   1.8e+09    6.7e+07          -999.99
2016 04 16    5.8e+05  1.3e+04  3.3e+03   1.8e+09    9.3e+07          -999.99
2016 04 17    1.4e+06  1.3e+04  3.3e+03   8.4e+08    1.6e+07          -999.99
2016 04 18    3.1e+05  2.4e+04  3.2e+03   4.5e+08    8.4e+06          -999.99
2016 04 19    4.5e+05  1.6e+04  3.2e+03   5.7e+08    1.9e+07          -999.99
2016 04 20    2.1e+05  1.3e+04  3.0e+03   2.7e+08    8.1e+06          -999.99
2016 04 21    1.5e+05  1.3e+04  3.1e+03   1.8e+08    5.5e+06          -999.99
2016 04 22    1.3e+05  1.2e+04  2.7e+03   2.6e+08    7.0e+06          -999.99
2016 04 23    1.4e+05  1.3e+04  2.9e+03   2.4e+08    5.7e+06          -999.99
2016 04 24    4.0e+05  1.2e+04  3.0e+03   3.9e+08    4.9e+06          -999.99
2016 04 25    3.9e+05  1.2e+04  3.0e+03   7.7e+08    5.9e+06          -999.99
2016 04 26    3.0e+05  1.2e+04  3.0e+03   7.6e+08    6.9e+06          -999.99
2016 04 27    8.3e+05  1.2e+04  3.2e+03   9.6e+08    8.6e+06          -999.99
2016 04 28    2.8e+05  1.2e+04  3.2e+03   1.7e+09    1.4e+07          -999.99
2016 04 29    4.6e+05  1.3e+04  3.4e+03   1.5e+09    1.6e+07          -999.99
2016 04 30    4.2e+05  1.3e+04  3.4e+03   6.6e+08    7.0e+06          -999.99
2016 05 01    2.2e+05  1.3e+04  3.1e+03   2.7e+08    1.3e+06          -999.99
2016 05 02    4.1e+05  1.3e+04  3.0e+03   9.8e+08    1.1e+07          -999.99
2016 05 03    3.7e+05  1.3e+04  3.0e+03   3.2e+09    1.3e+08          -999.99
2016 05 04    1.9e+05  1.3e+04  3.0e+03   4.8e+09    2.3e+08          -999.99
2016 05 05    2.7e+05  1.3e+04  3.2e+03   3.5e+09    2.0e+08          -999.99
2016 05 06    2.8e+05  1.3e+04  3.0e+03   1.2e+09    5.7e+07          -999.99
2016 05 07    1.3e+05  1.3e+04  3.1e+03   8.7e+08    4.1e+06          -999.99
2016 05 08    8.3e+05  1.2e+04  2.9e+03   4.2e+08    3.9e+06          -999.99
2016 05 09    1.1e+06  1.3e+04  3.1e+03   4.5e+09    3.4e+08          -999.99
2016 05 10    1.3e+06  1.3e+04  3.2e+03   8.7e+09    1.6e+09          -999.99
2016 05 11    4.4e+05  1.3e+04  3.3e+03   1.0e+10    2.2e+09          -999.99
2016 05 12    3.5e+05  1.3e+04  3.2e+03   1.1e+10    2.5e+09          -999.99
2016 05 13    3.0e+05  1.4e+04  3.3e+03   6.6e+09    1.1e+09          -999.99
2016 05 14    3.2e+05  1.3e+04  3.3e+03   7.9e+08    6.4e+07          -999.99
2016 05 15    3.9e+05  3.4e+04  3.3e+03   2.2e+08    6.8e+06          -999.99
2016 05 16    1.6e+06  3.5e+04  3.0e+03   7.5e+08    2.3e+07          -999.99
2016 05 17    5.8e+05  1.4e+04  3.1e+03   1.6e+09    3.9e+07          -999.99
2016 05 18    2.3e+05  1.3e+04  2.9e+03   1.4e+09    3.2e+07          -999.99
2016 05 19    1.9e+05  1.3e+04  2.9e+03   1.4e+09    4.1e+07          -999.99
2016 05 20    1.4e+05  1.3e+04  2.9e+03   5.7e+08    1.9e+07          -999.99
2016 05 21    3.6e+05  1.2e+04  3.0e+03   5.0e+08    1.3e+07          -999.99
2016 05 22    1.5e+05  1.3e+04  3.2e+03   1.1e+09    1.7e+07          -999.99
2016 05 23    1.5e+05  1.3e+04  3.1e+03   1.7e+09    2.5e+07          -999.99
2016 05 24    1.2e+05  1.3e+04  3.3e+03   1.4e+09    2.8e+07          -999.99
2016 05 25    1.6e+05  1.3e+04  3.2e+03   1.2e+09    2.8e+07          -999.99
2016 05 26    2.9e+05  1.3e+04  3.1e+03   1.1e+09    2.9e+07          -999.99
2016 05 27    1.5e+05  1.3e+04  3.3e+03   1.8e+08    3.5e+06          -999.99
2016 05 28    6.9e+05  1.3e+04  2.9e+03   7.7e+08    4.5e+06          -999.99
2016 05 29    1.9e+05  1.3e+04  3.1e+03   1.9e+09    1.6e+07          -999.99
2016 05 30    4.1e+05  1.3e+04  3.0e+03   2.0e+09    3.4e+07          -999.99
2016 05 31    3.5e+05  1.3e+04  3.1e+03   2.6e+09    5.0e+07          -999.99
2016 06 01    1.7e+05  1.3e+04  3.3e+03   2.3e+09    5.3e+07          -999.99
2016 06 02    1.8e+05  1.3e+04  3.4e+03   2.4e+09    6.2e+07          -999.99
2016 06 03    2.5e+05  1.4e+04  3.6e+03   2.3e+09    7.1e+07          -999.99
2016 06 04    3.9e+05  1.4e+04  3.3e+03   2.0e+09    7.4e+07          -999.99
2016 06 05    3.2e+05  1.3e+04  3.1e+03   1.5e+08    1.0e+06          -999.99
2016 06 06    7.2e+05  1.3e+04  3.1e+03   1.3e+09    1.8e+07          -999.99
2016 06 07    2.1e+05  1.4e+04  3.3e+03   3.2e+09    4.8e+07          -999.99
2016 06 08    2.1e+05  1.3e+04  3.3e+03   2.1e+09    4.0e+07          -999.99
2016 06 09    2.2e+05  1.4e+04  3.3e+03   2.6e+09    7.6e+07          -999.99
2016 06 10    3.8e+05  1.3e+04  3.4e+03   2.1e+09    7.1e+07          -999.99
2016 06 11    1.1e+05  1.3e+04  3.2e+03   4.2e+08    5.3e+06          -999.99
2016 06 12    2.2e+05  1.3e+04  3.1e+03   7.6e+08    1.2e+07          -999.99
2016 06 13    5.0e+05  1.3e+04  3.0e+03   6.6e+08    1.1e+07          -999.99
2016 06 14    4.6e+05  1.3e+04  3.0e+03   1.1e+09    1.6e+07          -999.99
2016 06 15    3.8e+05  1.2e+04  2.8e+03   7.8e+08    5.4e+06          -999.99
2016 06 16    2.4e+05  1.3e+04  3.0e+03   9.2e+08    9.0e+06          -999.99
2016 06 17    2.5e+05  1.3e+04  2.9e+03   1.3e+09    1.4e+07          -999.99
2016 06 18    1.9e+05  1.2e+04  3.0e+03   1.4e+09    2.3e+07          -999.99
2016 06 19    1.7e+05  1.3e+04  3.3e+03   2.1e+09    3.8e+07          -999.99
2016 06 20    2.2e+05  1.3e+04  3.2e+03   2.5e+09    4.6e+07          -999.99
2016 06 21    3.1e+05  1.4e+04  3.3e+03   2.4e+09    5.4e+07          -999.99
2016 06 22    4.3e+05  1.3e+04  3.3e+03   1.7e+09    4.1e+07          -999.99
2016 06 23    3.3e+05  1.2e+04  2.9e+03   3.1e+08    3.2e+06          -999.99
2016 06 24    1.8e+05  1.3e+04  2.9e+03   6.2e+08    1.5e+06          -999.99
2016 06 25    2.7e+05  1.3e+04  3.2e+03   4.0e+09    6.0e+07          -999.99
2016 06 26    2.6e+05  1.3e+04  3.1e+03   3.2e+09    6.8e+07          -999.99
2016 06 27    4.1e+05  1.3e+04  3.0e+03   2.9e+09    4.4e+07          -999.99
2016 06 28    3.9e+05  1.3e+04  3.4e+03   3.5e+09    7.7e+07          -999.99
2016 06 29    4.4e+05  1.3e+04  3.2e+03   3.5e+09    8.5e+07          -999.99
2016 06 30    5.9e+05  1.3e+04  3.3e+03   2.7e+09    6.8e+07          -999.99
2016 07 01    1.7e+05  1.3e+04  3.1e+03   6.9e+08    6.3e+06          -999.99
2016 07 02    1.8e+05  1.3e+04  3.2e+03   7.0e+08    7.3e+06          -999.99
2016 07 03    2.9e+05  1.4e+04  3.3e+03   2.5e+08    7.8e+05          -999.99
2016 07 04    3.3e+05  1.3e+04  3.3e+03   9.2e+08    4.7e+06          -999.99
2016 07 05    2.1e+05  1.4e+04  3.4e+03   1.0e+09    5.6e+06          -999.99
2016 07 06    3.3e+05  1.4e+04  3.3e+03   9.2e+08    7.2e+06          -999.99
2016 07 07    2.3e+05  1.5e+04  3.5e+03   8.1e+07    1.3e+05          -999.99
2016 07 08    1.2e+06  1.4e+04  3.2e+03   1.3e+09    1.7e+07          -999.99
2016 07 09    5.4e+05  1.3e+04  3.1e+03   2.6e+09    7.9e+07          -999.99
2016 07 10    3.0e+05  1.2e+04  2.8e+03   3.5e+09    1.4e+08          -999.99
2016 07 11    2.4e+05  1.2e+04  3.0e+03   2.8e+09    1.1e+08          -999.99
2016 07 12    5.0e+05  1.2e+04  2.8e+03   1.4e+09    3.4e+07          -999.99
2016 07 13    4.9e+05  1.2e+04  2.8e+03   4.5e+09    1.6e+08          -999.99
2016 07 14    7.6e+05  1.2e+04  2.9e+03   4.1e+09    1.6e+08          -999.99
2016 07 15    6.2e+05  1.2e+04  2.9e+03   2.2e+09    8.8e+07          -999.99
2016 07 16    6.9e+05  1.2e+04  3.0e+03   3.7e+09    1.5e+08          -999.99
2016 07 17    3.6e+05  1.3e+04  3.3e+03   4.6e+09    2.1e+08          -999.99
2016 07 18    3.0e+05  1.3e+04  3.3e+03   4.7e+09    2.9e+08          -999.99
2016 07 19    5.7e+05  1.3e+04  3.2e+03   4.8e+09    3.4e+08          -999.99
2016 07 20    3.5e+05  1.2e+04  2.9e+03   7.0e+07    9.7e+05          -999.99
2016 07 21    1.9e+05  1.3e+04  3.0e+03   4.8e+07    4.0e+05          -999.99
2016 07 22    2.2e+05  1.3e+04  3.1e+03   2.1e+08    5.1e+05          -999.99
2016 07 23    3.9e+05  1.8e+04  3.6e+03   7.7e+08    2.6e+06          -999.99
2016 07 24    3.5e+05  1.4e+04  3.3e+03   6.9e+08    3.6e+06          -999.99
2016 07 25    6.2e+05  1.3e+04  3.1e+03   1.0e+09    1.1e+07          -999.99
2016 07 26    2.7e+05  1.3e+04  3.2e+03   3.0e+09    3.3e+07          -999.99
2016 07 27    2.7e+05  1.3e+04  3.1e+03   3.5e+09    6.3e+07          -999.99
2016 07 28    1.8e+05  1.3e+04  3.2e+03   3.6e+08    3.3e+06          -999.99
2016 07 29    4.4e+05  1.4e+04  3.3e+03   1.3e+09    9.2e+06          -999.99
2016 07 30    4.0e+05  1.4e+04  3.2e+03   3.4e+09    3.9e+07          -999.99
2016 07 31    3.3e+05  1.4e+04  3.6e+03   3.6e+09    5.2e+07          -999.99
2016 08 01    3.8e+05  1.4e+04  3.3e+03   3.4e+09    5.8e+07          -999.99
2016 08 02    8.7e+05  1.3e+04  3.3e+03   1.6e+09    2.0e+07          -999.99
2016 08 03    6.5e+05  1.3e+04  2.9e+03   6.0e+08    3.4e+06          -999.99
2016 08 04    1.6e+06  1.4e+04  3.4e+03   2.8e+09    9.9e+07          -999.99
2016 08 05    1.2e+06  1.4e+04  3.3e+03   3.5e+09    1.6e+08          -999.99
2016 08 06    2.0e+06  1.3e+04  2.9e+03   5.6e+09    4.8e+08          -999.99
2016 08 07    7.8e+05  1.3e+04  2.9e+03   4.9e+09    3.7e+08          -999.99
2016 08 08    8.4e+05  1.3e+04  3.0e+03   2.9e+09    2.3e+08          -999.99
2016 08 09    6.6e+05  1.3e+04  3.0e+03   2.1e+09    1.2e+08          -999.99
2016 08 10    2.2e+06  1.2e+04  3.0e+03   3.6e+09    2.2e+08          -999.99
2016 08 11    1.1e+06  1.3e+04  3.0e+03   4.6e+09    2.7e+08          -999.99
2016 08 12    9.1e+05  1.3e+04  3.1e+03   4.2e+09    2.4e+08          -999.99
2016 08 13    5.5e+05  1.3e+04  3.2e+03   6.0e+09    4.9e+08          -999.99
2016 08 14    8.3e+05  1.3e+04  3.6e+03   5.2e+09    4.3e+08          -999.99
2016 08 15    8.7e+05  1.3e+04  3.2e+03   4.9e+09    4.6e+08          -999.99
2016 08 16    6.7e+05  1.3e+04  3.1e+03   3.2e+09    2.3e+08          -999.99
2016 08 17    2.6e+05  1.3e+04  3.2e+03   3.9e+08    4.9e+06          -999.99
2016 08 18    2.0e+05  1.3e+04  3.2e+03   2.7e+08    1.6e+06          -999.99
2016 08 19    1.8e+05  1.3e+04  3.1e+03   5.1e+08    5.7e+06          -999.99
2016 08 20    1.7e+05  1.3e+04  3.0e+03   6.3e+08    7.1e+06          -999.99
2016 08 21    4.4e+05  1.4e+04  3.2e+03   4.6e+08    8.2e+06          -999.99
2016 08 22    2.5e+05  1.3e+04  3.2e+03   2.2e+08    2.6e+06          -999.99
2016 08 23    4.9e+05  1.3e+04  3.2e+03   1.1e+08    2.8e+06          -999.99
2016 08 24    7.2e+05  1.3e+04  3.0e+03   7.3e+08    2.6e+06          -999.99
2016 08 25    1.2e+06  1.3e+04  3.4e+03   2.7e+09    3.3e+07          -999.99
2016 08 26    4.7e+05  1.3e+04  3.4e+03   2.0e+09    3.8e+07          -999.99
2016 08 27    5.5e+05  1.4e+04  3.3e+03   2.9e+09    9.0e+07          -999.99
2016 08 28    6.0e+05  1.3e+04  3.2e+03   3.1e+09    1.1e+08          -999.99
2016 08 29    7.2e+05  1.5e+04  3.8e+03   2.2e+09    6.0e+07          -999.99
2016 08 30    3.8e+05  1.4e+04  3.2e+03   3.0e+08    1.6e+06          -999.99
2016 08 31    4.1e+05  1.4e+04  3.2e+03   7.0e+08    2.1e+06          -999.99
2016 09 01    7.7e+05  1.3e+04  3.1e+03   3.5e+08    8.6e+05          -999.99
2016 09 02    2.9e+06  1.3e+04  3.0e+03   3.4e+09    1.8e+08          -999.99
2016 09 03    4.6e+06  1.3e+04  3.0e+03   4.8e+09    5.0e+08          -999.99
2016 09 04    4.4e+06  1.3e+04  2.9e+03   7.2e+09    1.1e+09          -999.99
2016 09 05    3.0e+06  1.4e+04  3.0e+03   8.5e+09    1.6e+09          -999.99
2016 09 06    1.2e+06  1.3e+04  3.1e+03   7.8e+09    1.1e+09          -999.99
2016 09 07    1.3e+06  1.3e+04  3.2e+03   7.1e+09    1.0e+09          -999.99
2016 09 08    1.1e+06  1.4e+04  3.1e+03   3.2e+09    3.4e+08          -999.99
2016 09 09    5.0e+05  1.3e+04  3.1e+03   1.3e+09    8.2e+07          -999.99
2016 09 10    3.8e+05  1.4e+04  3.6e+03   2.1e+09    2.3e+08          -999.99
2016 09 11    4.8e+05  1.3e+04  3.3e+03   3.1e+09    5.1e+08          -999.99
2016 09 12    3.3e+05  1.3e+04  3.5e+03   5.6e+08    9.1e+07          -999.99
2016 09 13    3.7e+05  1.3e+04  3.0e+03   6.2e+08    4.2e+07          -999.99
2016 09 14    4.1e+05  1.4e+04  3.5e+03   4.3e+08    2.3e+07          -999.99
2016 09 15    1.7e+05  1.3e+04  3.3e+03   3.2e+07    1.1e+05          -999.99
2016 09 16    3.4e+05  1.3e+04  3.2e+03   5.6e+07    1.0e+05          -999.99
2016 09 17    3.7e+05  1.4e+04  3.5e+03   1.2e+08    5.6e+04          -999.99
2016 09 18    3.3e+05  1.4e+04  3.2e+03   1.2e+08    1.7e+06          -999.99
2016 09 19    2.6e+05  1.4e+04  3.3e+03   3.2e+07    1.2e+06          -999.99
2016 09 20    1.0e+06  1.3e+04  3.1e+03   6.6e+08    1.6e+06          -999.99
2016 09 21    1.1e+06  1.3e+04  3.2e+03   3.4e+09    4.5e+07          -999.99
2016 09 22    6.0e+05  1.4e+04  3.4e+03   2.5e+09    2.4e+07          -999.99
2016 09 23    6.6e+05  1.3e+04  3.3e+03   1.8e+09    2.3e+07          -999.99
2016 09 24    6.4e+05  1.3e+04  3.2e+03   1.3e+09    1.3e+07          -999.99
2016 09 25    6.7e+05  1.5e+04  3.6e+03   1.3e+08    4.3e+05          -999.99
2016 09 26    9.5e+05  1.4e+04  3.5e+03   7.1e+08    3.9e+06          -999.99
2016 09 27    5.0e+06  1.4e+04  3.1e+03   2.4e+09    9.5e+07          -999.99
2016 09 28    5.9e+06  1.3e+04  2.9e+03   4.2e+09    3.8e+08          -999.99
2016 09 29    1.2e+07  1.3e+04  3.0e+03   4.7e+09    4.9e+08          -999.99
2016 09 30    7.5e+06  1.4e+04  3.2e+03   1.0e+10    1.9e+09          -999.99
2016 10 01    6.4e+06  1.4e+04  3.2e+03   9.7e+09    2.4e+09          -999.99
2016 10 02    9.0e+06  1.5e+04  3.3e+03   6.4e+09    1.0e+09          -999.99
2016 10 03    5.2e+06  1.4e+04  3.2e+03   6.0e+09    1.1e+09          -999.99
2016 10 04    9.2e+06  1.4e+04  3.1e+03   2.1e+09    1.3e+08          -999.99
2016 10 05    4.9e+06  1.4e+04  3.4e+03   3.6e+09    1.9e+08          -999.99
2016 10 06    3.6e+06  1.3e+04  3.4e+03   4.5e+09    3.0e+08          -999.99
2016 10 07    2.0e+06  1.3e+04  3.2e+03   2.4e+09    1.8e+08          -999.99
2016 10 08    1.3e+06  1.4e+04  3.4e+03   1.6e+09    1.1e+08          -999.99
2016 10 09    1.2e+06  1.4e+04  3.5e+03   1.9e+09    1.3e+08          -999.99
2016 10 10    1.7e+06  1.4e+04  3.4e+03   9.9e+08    5.8e+07          -999.99
2016 10 11    8.2e+05  1.4e+04  3.5e+03   4.7e+08    2.0e+07          -999.99
2016 10 12    1.1e+06  1.3e+04  3.1e+03   5.2e+08    3.9e+07          -999.99
